"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7915","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""} @getSearchTerm","","Wed Dec 04 19:10:38 UTC 2024","passed","Wed Dec 04 19:10:46 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""} @getSearchTerm"
"","7879","Validate for live stream psychic sign up first to get start session @signup-to-get-Start-session","","Wed Dec 04 19:12:01 UTC 2024","failed","Wed Dec 04 19:12:09 UTC 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to get start session @signup-to-get-Start-session"
"","8121","Select a category with its matching psychics {""category"":""Energy work""} @category-results","","Wed Dec 04 19:12:09 UTC 2024","failed","Wed Dec 04 19:12:17 UTC 2024","","Select a Category @psychics-by-category","Select a Category @psychics-by-category","Select a category with its matching psychics {""category"":""Energy work""} @category-results"
"","7726","Searching results match with Name and number on search dropdown {""searchTerm"":""123""} @getSearchTerm","","Wed Dec 04 19:11:02 UTC 2024","passed","Wed Dec 04 19:11:09 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""123""} @getSearchTerm"
"","9468","Clicking on show all result 'name' from dropdown should show list with same name. {""name"":""Ann""} @getSearchListforuser","","Wed Dec 04 19:11:09 UTC 2024","passed","Wed Dec 04 19:11:19 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Clicking on show all result 'name' from dropdown should show list with same name. {""name"":""Ann""} @getSearchListforuser"
"","7653","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""} @getSearchTerm","","Wed Dec 04 19:10:46 UTC 2024","passed","Wed Dec 04 19:10:54 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""} @getSearchTerm"
"","8441","Searching results match with Name and number on search dropdown {""searchTerm"":""Matt""} @getSearchTerm","","Wed Dec 04 19:10:30 UTC 2024","passed","Wed Dec 04 19:10:38 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Matt""} @getSearchTerm"
"","7607","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""} @getSearchTerm","","Wed Dec 04 19:10:54 UTC 2024","passed","Wed Dec 04 19:11:02 UTC 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""} @getSearchTerm"
"","10255","Validate for live stream psychic sign up first to Get Free Credits @signup-to-get-credits","","Wed Dec 04 19:11:19 UTC 2024","failed","Wed Dec 04 19:11:29 UTC 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to Get Free Credits @signup-to-get-credits"
"","5149","Validate for live stream psychic sign up first to add favorites @signup-to-add-favorites","","Wed Dec 04 19:11:29 UTC 2024","failed","Wed Dec 04 19:11:34 UTC 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to add favorites @signup-to-add-favorites"
"","25791","Validate for live stream psychic sign up first to get surprise button @signup-to-a-suprise-buttons","","Wed Dec 04 19:11:35 UTC 2024","failed","Wed Dec 04 19:12:00 UTC 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to get surprise button @signup-to-a-suprise-buttons"
